 Populations/Million;PIB (%);  Population urbaine en Million;Export - biens/services (Billion of US $);Import - biens/services (Billion of US $); Natalite brut/1000 habitants;Taux d'emploie;Taux de Chomage(%);Paricipation aux elections %;Revenu personnel median reel USD;Criminalite/100.000Hbt;Parti gouvernant;Vainqueur
180.67;1.98;126 462 473.00;25 940.00;22 432.00;22.696;0.38;0.066;0.628;5 600.00;5.1;0;Democ
187.84;4.65;133 274 074.50;29 271.50;24 822.25;21.26375;0.5885;0.055;0.614;5 247.01;4.7;1;Democ
197.57;5.05;143 105 927.30;40 271.75;37 657.50;18.646;0.59075;0.0375;0.607;7 126.25;5.6;1;Rep
206.3225;2.85;151 737 180.30;12 353.38;12 330.33;16.6315;0.558;0.052;0.551;8 428.25;8.2;0;Rep
214.9425;2.5725;158 301 292.80;127.54;123.13;15.3685;0.61;0.07025;0.536;10 681.50;9.375;0;Democ
223.775;3.2675;164 915 115.00;214.28;235.3;14.886;0.63;0.064;0.528;14 376.00;9.6;1;Rep
232.685;3.14;172 465 615.00;291.96;338.67;15.26175;0.6385;0.08725;0.533;19 338.25;8.775;0;Rep
241.21;3.8175;180 232 908.80;358.19;483.2;15.5575;0.652;0.0615;0.503;24 108.50;8.325;0;Rep
251.4825;2.2425;190 002 161.00;571.04;628.02;15.5525;0.6413;0.066;0.552;28 930.50;9.4;0;Democ
264.68;3.3075;203 987 519.50;764.04;849.98;15.10025;0.63175;0.0575;0.49;31 894.75;8.425;1;Democ
277.4125;4.4525;217 922 794.30;998.96;1 222.85;14.303;0.62825;0.0425;0.503;37 866.75;6;1;Rep
286.3;2.35;229 650 477.50;1 059.30;1 538.18;14.0595;0.58758;0.057;0.557;42 416.50;5.875;0;Rep
298.375;2.365;240 400 553.80;1 568.94;2 302.35;13.87825;0.56045;0.054;0.571;47 029.50;5.65;0;Democ
310;1;250 971 178.00;1 931.00;2 445.00;13.178;0.5152;0.089;0.549;49 669.50;4.8;1;Democ
319;2;260 623 275.00;2 283.00;2 792.00;12.37125;0.51305;0.055;0.592;53 374.75;4.85;1;Rep
